Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,0.036162,0.036239,0.032544,0.033215,0.033215,95977717
2020-04-11,0.033215,0.034012,0.032772,0.033354,0.033354,75648111
2020-04-12,0.033329,0.034668,0.033075,0.033806,0.033806,73751090
2020-04-13,0.033782,0.033831,0.032070,0.033107,0.033107,84000834
2020-04-14,0.033123,0.033686,0.032781,0.032974,0.032974,74633336
2020-04-15,0.032959,0.033695,0.031839,0.031863,0.031863,68238171
2020-04-16,0.031900,0.034612,0.031242,0.034408,0.034408,101314083
2020-04-17,0.034428,0.034904,0.034291,0.034573,0.034573,79385033
2020-04-18,0.034623,0.036821,0.034575,0.036553,0.036553,89893451
2020-04-19,0.036573,0.036838,0.035630,0.035816,0.035816,87523446
2020-04-20,0.035806,0.036705,0.034158,0.034177,0.034177,94301265
2020-04-21,0.034160,0.034995,0.034032,0.034700,0.034700,86348515
2020-04-22,0.034688,0.036733,0.034544,0.036559,0.036559,78891247
2020-04-23,0.036570,0.041847,0.036524,0.040605,0.040605,162468134
2020-04-24,0.040617,0.043843,0.040617,0.041868,0.041868,176233806
2020-04-25,0.041870,0.043669,0.041398,0.042408,0.042408,101619889
2020-04-26,0.042405,0.046224,0.042232,0.045879,0.045879,150611027
2020-04-27,0.045938,0.047672,0.044644,0.046601,0.046601,168989554
2020-04-28,0.046630,0.048065,0.046265,0.047195,0.047195,144584235
2020-04-29,0.047230,0.051997,0.047019,0.051695,0.051695,192508666
2020-04-30,0.051717,0.054257,0.047565,0.047846,0.047846,242494651
2020-05-01,0.047826,0.051955,0.047776,0.051260,0.051260,169546437
2020-05-02,0.051196,0.051510,0.049891,0.051014,0.051014,128138136
2020-05-03,0.051032,0.051691,0.048311,0.048929,0.048929,139890791
2020-05-04,0.048964,0.050228,0.046523,0.049664,0.049664,172243659
2020-05-05,0.049668,0.050502,0.049049,0.049358,0.049358,128066778
2020-05-06,0.049302,0.051128,0.048983,0.049767,0.049767,131357244
2020-05-07,0.049740,0.051487,0.048857,0.051106,0.051106,143479708
2020-05-08,0.051083,0.053539,0.050986,0.052303,0.052303,172647716
2020-05-09,0.052259,0.053028,0.051522,0.051736,0.051736,141642171
2020-05-10,0.051744,0.051744,0.045003,0.047677,0.047677,227335948
2020-05-11,0.047696,0.049450,0.045490,0.048108,0.048108,206327744
2020-05-12,0.048094,0.050933,0.047906,0.050421,0.050421,170879029
2020-05-13,0.050367,0.052045,0.049724,0.051472,0.051472,148356780
2020-05-14,0.051365,0.051885,0.050481,0.050890,0.050890,144469842
2020-05-15,0.050866,0.051767,0.050014,0.050463,0.050463,142644324
2020-05-16,0.050423,0.051229,0.050084,0.050932,0.050932,123913485
2020-05-17,0.050913,0.052078,0.050913,0.051343,0.051343,115459525
2020-05-18,0.051294,0.054827,0.051094,0.054252,0.054252,182874559
2020-05-19,0.054224,0.056887,0.052858,0.056449,0.056449,186581379
2020-05-20,0.056459,0.057326,0.054650,0.056875,0.056875,203310637
2020-05-21,0.056869,0.057482,0.050575,0.052246,0.052246,228349552
2020-05-22,0.052283,0.056926,0.051520,0.055833,0.055833,224368474
2020-05-23,0.055840,0.056437,0.054495,0.055322,0.055322,131277191
2020-05-24,0.055265,0.056050,0.052629,0.052641,0.052641,108565176
2020-05-25,0.052188,0.054345,0.051129,0.054011,0.054011,183914564
