Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,0.013550,0.013550,0.011590,0.012033,0.012033,23449295
2020-04-11,0.012033,0.012560,0.011868,0.012188,0.012188,17852262
2020-04-12,0.012172,0.012821,0.011926,0.012349,0.012349,15513362
2020-04-13,0.012316,0.012316,0.011619,0.012006,0.012006,11972524
2020-04-14,0.012013,0.012440,0.011854,0.012161,0.012161,17460651
2020-04-15,0.012156,0.012343,0.011589,0.011630,0.011630,9494490
2020-04-16,0.011643,0.012697,0.011360,0.012641,0.012641,14329055
2020-04-17,0.012643,0.013061,0.012531,0.012827,0.012827,12635115
2020-04-18,0.012827,0.013474,0.012823,0.013366,0.013366,12187452
2020-04-19,0.013383,0.013616,0.012941,0.013011,0.013011,14623219
2020-04-20,0.012986,0.013367,0.011930,0.012117,0.012117,14733383
2020-04-21,0.012107,0.012318,0.011816,0.012070,0.012070,12623372
2020-04-22,0.012082,0.012826,0.012048,0.012798,0.012798,10658272
2020-04-23,0.012776,0.014677,0.012567,0.014176,0.014176,30542441
2020-04-24,0.014212,0.015675,0.014212,0.014788,0.014788,34720267
2020-04-25,0.014764,0.015544,0.014519,0.015135,0.015135,22755020
2020-04-26,0.015126,0.015973,0.015072,0.015618,0.015618,24748735
2020-04-27,0.015626,0.016025,0.014889,0.015461,0.015461,22176953
2020-04-28,0.015446,0.015857,0.015105,0.015779,0.015779,14864637
2020-04-29,0.015794,0.016885,0.015580,0.016556,0.016556,36393151
2020-04-30,0.016527,0.016672,0.015431,0.015502,0.015502,33812307
2020-05-01,0.015502,0.016432,0.015487,0.016022,0.016022,19121914
2020-05-02,0.016020,0.017227,0.015912,0.016958,0.016958,21290042
2020-05-03,0.016947,0.018077,0.016748,0.017133,0.017133,34278241
2020-05-04,0.017125,0.017351,0.015899,0.017049,0.017049,30535931
2020-05-05,0.017066,0.017202,0.016602,0.016996,0.016996,18072579
2020-05-06,0.016948,0.018289,0.016837,0.017288,0.017288,28011079
2020-05-07,0.017288,0.017822,0.016694,0.017397,0.017397,30602547
2020-05-08,0.017397,0.018547,0.017171,0.017933,0.017933,26484346
2020-05-09,0.017944,0.018357,0.017254,0.017304,0.017304,21421610
2020-05-10,0.017320,0.017320,0.014466,0.015349,0.015349,40672520
2020-05-11,0.015356,0.015505,0.014037,0.015081,0.015081,31341457
